candidate_id,date,label,tentative_category,brief,claimed_magnitude_usd_m,in_surviving_50,n_assets_moved_std,n_assets_moved_relaxed,n_assets_moved_strict,stage2_std_pass,stage2_relaxed_pass,stage2_strict_pass,stage2_nofilter_pass,final_disposition,rejection_reason
1,2019-01-15,Cryptopia hack,Infrastructure,Cryptopia exchange hack ($16M),16.0,False,4,4,4,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
2,2019-02-15,QuadrigaCX,Infrastructure,QuadrigaCX exchange collapses ($190M),190.0,True,1,1,1,False,True,False,True,RETAINED,
3,2019-03-26,CoinBene hack,Infrastructure,CoinBene exchange hack/halt (~$45M),45.0,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
4,2019-04-03,SEC FinHub,Regulatory,SEC issues FinHub digital asset framework,,True,5,5,5,True,True,True,True,RETAINED,
5,2019-04-26,Bitfinex/Tether NYAG,Regulatory,NY AG accuses Bitfinex/Tether of cover-up,,False,3,3,3,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
6,2019-05-07,Binance hack '19,Infrastructure,"Binance hack (~7,000 BTC stolen, $40M)",40.0,True,1,1,1,False,True,False,True,RETAINED,
7,2019-05-13,BitTrue hack,Infrastructure,BitTrue exchange hack (~$4.5M),4.5,False,5,5,5,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
8,2019-06-18,Libra announced,Regulatory,Facebook announces Libra (later Diem),,True,1,1,1,False,True,False,True,RETAINED,
9,2019-06-26,BTC > $13K,Infrastructure,BTC rally on Libra news,,False,2,2,2,True,True,False,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
10,2019-07-02,Bitpoint hack,Infrastructure,Bitpoint Japan hack ($32M),32.0,False,5,5,5,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
11,2019-07-15,Trump anti-crypto tweets,Regulatory,Trump 'not a fan' of Bitcoin tweets,,False,5,5,5,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
12,2019-08-05,LTC halving '19,Infrastructure,Litecoin second halving,,True,2,2,2,True,True,False,True,RETAINED,
13,2019-09-09,BitMEX leaks,Regulatory,BitMEX privacy data leak / CFTC probe,,False,2,2,2,True,True,False,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
14,2019-09-24,Bakkt launch,Infrastructure,Bakkt Bitcoin futures launch,,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
15,2019-10-24,China blockchain,Regulatory,China endorses blockchain as core technology,,True,6,6,6,True,True,True,True,RETAINED,
16,2019-11-08,Upbit hack,Infrastructure,Upbit Korea hack ($49M),49.0,False,2,2,2,True,True,False,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
17,2019-12-09,PlusToken seized,Infrastructure,PlusToken Ponzi seizure,3000.0,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
18,2020-01-13,5AMLD effective,Regulatory,EU 5th AML Directive comes into force,,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
19,2020-02-16,Bitfinex/Tether NYAG ruling,Regulatory,NYAG: Tether/Bitfinex must produce records,,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
20,2020-03-12,Black Thursday,Infrastructure,Black Thursday crash & exchange outages,,True,6,6,6,True,True,True,True,RETAINED,
21,2020-04-19,dForce hack,Infrastructure,dForce / Lendf.Me exploit ($25M),25.0,False,3,3,3,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
22,2020-05-11,BTC halving '20,Infrastructure,Bitcoin third halving (12.5 to 6.25 BTC),,True,6,6,6,True,True,True,True,RETAINED,
23,2020-06-15,COMP/DeFi '20,Infrastructure,COMP launch catalyzes DeFi summer,,True,0,0,0,False,False,False,True,RETAINED,
24,2020-07-15,Twitter hack,Infrastructure,Twitter crypto-scam mass account hack,,False,1,1,1,False,True,False,True,DROPPED_STAGE2,Only 1 asset(s) moved beyond 1 SD; need ≥2
25,2020-08-01,FinCEN crypto guide,Regulatory,FinCEN guidance on virtual asset providers,,False,4,4,4,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
26,2020-09-01,BSC launch,Infrastructure,Binance Smart Chain (BSC) mainnet launch,,True,3,3,3,True,True,True,True,RETAINED,
27,2020-09-25,KuCoin hack,Infrastructure,KuCoin exchange hack ($281M),281.0,False,5,5,5,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
